8,Animals,Back to December,Bad Guy,Bad Luck,Better,Blank Space,Bury a Friend,Change,Come Out and Play,Delicate,Everything Has Changed,Fearless,Girls Like you,Gorgeous,Harder to Breathe,Idontwannabeyouanymore,Ilomilo,Learn to Fly,Listen Before i Go,Location,Look What you Made Me Do,Love Story,Love Yourself,Me!,Mistletoe,Moves Like Jagger,My Strange Addiction,Ocean Eyes,Our Song,Right Back,Safe & Sound,Say Something,She will be Loved,Should've Said No,Sorry,Speak Now,Sugar,Suncity,Sunday Morning,Talk,Teardrops on My Guitar,That Should be Me,Toxic,Vertigo,Wait,Walk,White Horse,Wildest Dreams,Wish you Were Gay,Won't Go Home without you,Xanny,Young Dumb & Broke,all the Good Girls Go to Hell,i Love you,when the Party's over,you Belong with Me,you Need to Calm Down,you Should See Me in a Crown
,,C,,F,,,,,,,,C,F,C,B,B,,,,,,C,,Dm,,,,,,,,D,,,,,,,,Dm,,C,,C,,,Em,,,Bb,,,,F,,Cm,,
,,G,,C,,,,,,,,Dm,C,Am,Am#,C,,,,,,C,,F,,,,,,,,Am,,,,,,,,,,F,,Gm,,,C,,,F,,,,C,,D#,,
,,F,,F,,,,,,,,C,G,F,Dm,G,,,,,,G,,C,,,,,,,,C,,,,,,,,,,Fm,,Dm,,,G,,,C,,,,F,,A7,,
,,Am,,Am,,,,,,,,F,Am,G,Am#,Am,,,,,,Am,,G,,,,,,,,G,,,,,,,,,,C,,C,,,C,,,G,,,,C,,F,,
,,G,,C,,,,,,,,G,F,C,B,D,,,,,,F,,Dm,,,,,,,,D,,,,,,,,,,F,,C,,,Em,,,Cb,,,,F,,Cm,,
,,C,,Dm,,,,,,,,C,C,Am,Dm,C,,,,,,G,,F,,,,,,,,Am,,,,,,,,,,Dm,,A7,,,C,,,Bb,,,,C,,D#,,
,,Am,,Am,,,,,,,,G,G,F,Dm,B,,,,,,C,,G,,,,,,,,C,,,,,,,,,,Am,,Dm,,,G,,,F,,,,F,,F,,
,,F,,F,,,,,,,,Dm,Am,G,C#,Em,,,,,,G,,Dm,,,,,,,,G,,,,,,,,,,F,,C,,,C,,,G,,,,Dm,,Cm,,
,,C,,Am,,,,,,,,C,F,,C#,C,,,,,,Am,,F,,,,,,,,D,,,,,,,,,,C,,Gm,,,Em,,,Bb,,,,G,,D#,,
,,Am,,G,,,,,,,,F,,,C,G,,,,,,F,,C,,,,,,,,Am,,,,,,,,,,C,,Dm,,,C,,,F,,,,Am,,A7,,
,,F,,C,,,,,,,,C,,,Dm,Am,,,,,,G,,G,,,,,,,,C,,,,,,,,,,C,,C,,,G,,,C,,,,C,,F,,
,,C,,C,,,,,,,,G,,,Am#,B,,,,,,C,,Dm,,,,,,,,G,,,,,,,,,,F,,C,,,,,,G,,,,F,,Cm,,
,,Am,,F,,,,,,,,Dm,,,B,C,,,,,,G,,F,,,,,,,,D,,,,,,,,,,Fm,,A7,,,,,,Cb,,,,C,,D#,,
,,F,,Am,,,,,,,,C,,,Dm,G,,,,,,Am,,C,,,,,,,,,,,,,,,,,,C,,Dm,,,,,,Bb,,,,F,,A7,,
,,Am,,C,,,,,,,,F,,,Am#,Am,,,,,,F,,G,,,,,,,,,,,,,,,,,,F,,C,,,,,,F,,,,C,,F,,
,,F,,Dm,,,,,,,,C,,,B,D,,,,,,G,,Dm,,,,,,,,,,,,,,,,,,Dm,,Gm,,,,,,G,,,,F,,Cm,,
,,C,,Am,,,,,,,,G,,,Am#,C,,,,,,C,,F,,,,,,,,,,,,,,,,,,Am,,Dm,,,,,,Bb,,,,C,,D#,,
,,G,,F,,,,,,,,Dm,,,Dm,B,,,,,,G,,C,,,,,,,,,,,,,,,,,,F,,C,,,,,,F,,,,F,,A7,,
,,Am,,Am,,,,,,,,C,,,Am#,Em,,,,,,Am,,G,,,,,,,,,,,,,,,,,,C,,C,,,,,,C,,,,Dm,,F,,
,,F,,G,,,,,,,,F,,,B,C,,,,,,F,,Dm,,,,,,,,,,,,,,,,,,C,,A7,,,,,,G,,,,G,,Cm,,
,,C,,C,,,,,,,,C,,,Dm,G,,,,,,G,,F,,,,,,,,,,,,,,,,,,C,,Dm,,,,,,Cb,,,,Am,,D#,,
,,G,,C,,,,,,,,G,,,Dm,Am,,,,,,Am,,C,,,,,,,,,,,,,,,,,,F,,C,,,,,,Bb,,,,C,,A7,,
,,Am,,F,,,,,,,,Dm,,,C#,B,,,,,,F,,,,,,,,,,,,,,,,,,,,Fm,,Gm,,,,,,F,,,,F,,,,
,,F,,Am,,,,,,,,C,,,C#,C,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,Dm,,,,,,G,,,,C,,,,
,,C,,C,,,,,,,,F,,,C,G,,,,,,G,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,Bb,,,,F,,,,
,,G,,Dm,,,,,,,,C,,,Dm,Am,,,,,,Am,,,,,,,,,,,,,,,,,,,,Dm,,C,,,,,,F,,,,C,,,,
,,Am,,Am,,,,,,,,G,,,Am#,D,,,,,,F,,,,,,,,,,,,,,,,,,,,Am,,A7,,,,,,C,,,,F,,,,
,,F,,F,,,,,,,,Dm,,,B,C,,,,,,C,,,,,,,,,,,,,,,,,,,,F,,Dm,,,,,,G,,,,C,,,,
,,C,,Am,,,,,,,,C,,,Dm,B,,,,,,G,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,Cb,,,,,,,,
,,G,,G,,,,,,,,F,,,Am#,Em,,,,,,Am,,,,,,,,,,,,,,,,,,,,C,,Gm,,,,,,Bb,,,,,,,,
,,C,,C,,,,,,,,,,,B,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,Dm,,,,,,F,,,,,,,,
,,Em,,C,,,,,,,,,,,Am#,,,,,,,C,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,G,,,,,,,,
,,F,,F,,,,,,,,,,,Dm,,,,,,,G,,,,,,,,,,,,,,,,,,,,Fm,,C,,,,,,Bb,,,,,,,,
,,C,,Am,,,,,,,,,,,Am#,,,,,,,Am,,,,,,,,,,,,,,,,,,,,C,,A7,,,,,,F,,,,,,,,
,,G,,C,,,,,,,,,,,B,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,,Dm,,,,,,C,,,,,,,,
,,C,,Dm,,,,,,,,,,,Dm,,,,,,,C,,,,,,,,,,,,,,,,,,,,Dm,,C,,,,,,G,,,,,,,,
,,Em,,Am,,,,,,,,,,,C,,,,,,,G,,,,,,,,,,,,,,,,,,,,Am,,Gm,,,,,,Cb,,,,,,,,
,,F,,F,,,,,,,,,,,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,F,,Dm,,,,,,Bb,,,,,,,,
,,C,,Am,,,,,,,,,,,C,,,,,,,A,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,F,,,,,,,,
,,G,,G,,,,,,,,,,,D,,,,,,,Bdim,,,,,,,,,,,,,,,,,,,,C,,C,,,,,,G,,,,,,,,
,,C,,C,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,Bb,,A7,,,,,,C,,,,,,,,
,,Em,,C,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,Bb,,Dm,,,,,,Dm,,,,,,,,
,,F,,F,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,Bb,,C,,,,,,F,,,,,,,,
,,C,,Am,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,Bb,,Gm,,,,,,G,,,,,,,,
,,G,,C,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,Bb,,Dm,,,,,,C,,,,,,,,
,,C,,Dm,,,,,,,,,,,,,,,,,,Bdim,,,,,,,,,,,,,,,,,,,,Bb,,C,,,,,,Am,,,,,,,,
,,Em,,Am,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,Bb,,,,,,,,F,,,,,,,,
,,F,,F,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,Bb,,,,,,,,C,,,,,,,,
,,C,,Am,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,Bb,,,,,,,,C,,,,,,,,
,,G,,G,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,Bb,,,,,,,,Dm,,,,,,,,
,,C,,C,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,Bb,,,,,,,,F,,,,,,,,
,,Am,,C,,,,,,,,,,,,,,,,,,Bdim,,,,,,,,,,,,,,,,,,,,Bb,,,,,,,,G,,,,,,,,
,,F,,Dm,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,C,,Am,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am,,,,,,,,
,,Am,,F,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,
,,F,,Am,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,C,,G,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,Am,,C,,,,,,,,,,,,,,,,,,Bdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dm,,,,,,,,
,,F,,F,,,,,,,,,,,,,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,
,,C,,C,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,
,,Am,,Dm,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,F,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dm,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,
,,,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dm,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,,,
,,,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Am,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,
,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
