Name,Progression
Me!,C C G Dm F C G Dm F C G Dm F C G Dm F Dm F C G Dm F G Dm F C G Dm F G Dm F C G Dm F G Dm F C G Dm F G C G Dm F C C G Dm F C C G Dm F C C G Dm F C C G Dm F Dm F C G Dm F C G Dm F Dm F C G Dm F C G Dm F Dm F C G Dm F C G Dm F Dm F C G Dm F G Dm F C G Dm F C G Dm F C G Dm F C
Mistletoe,C G Am F C C G Am F C C G Am F C C G Am F C C G Am F C G Am F C G Am F C G Am F C G Am F C G Am G C G Am F C G Am G C G Am F C G Am G C G Am F C G Am G C G Am F C G Am F C G Am F C G Am F
Moves Like Jagger,Am C G Am C G Am C G Am C G Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F Am C G F
My Strange Addiction,Am F Dm Am Am F Dm Am Am F Dm Am Am F Dm Am Am F Dm Am Am F Dm Am Am F Dm Am Am F Dm Am Am F Dm Am Am
Ocean Eyes,C D Em G C C D Em G C C D Em G C C D Em G C C D Em C D Em C D Em C D Em C D Em C D Em C D Em C D Em
Our Song,C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G C Dm F G Dm F C G Dm F C G Dm F C G Dm F C G
Right Back,C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am C F C Am F C F C F C F C F C F C F C
Safe & Sound,Dm Am F C Dm Am F C Dm Am F C Dm Am F C Dm Am F C Dm Am F C Dm Am F C Dm Am F C F C G F C G F C G F C G F C Am G F C Am G F C Am G F C Am G F C G F C G F C G
Say Something,Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D G D Am C G D Am C G D Am C G D Am C Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D
She will be Loved,Bdim A Bdim A Bdim A Bdim A D A Bdim G D A Bdim G D A Bdim G D A Bdim G Bdim A Bdim A Bdim A
Should've Said No,C B F# Gm# C B F# Gm# C B F# Gm# C B F# Gm# F# Gm# C B F# Gm# C B F# Gm# C B F# Gm# C B
Sorry,D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F D# Gm F
Speak Now,C C G Dm F C G Dm F C G Dm F C G Dm F C G Dm F C G Dm F C G Dm F C G Dm F
Sugar,C Am Dm C C Am Dm C C Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C F Am Dm C
Suncity,Am G Dm Em Am G Dm Em Am G Dm Em Am G Dm Em
Sunday Morning,Am D G Am D G Am D G Am D G Am D G Am D G Am D G Am D G Am D G Am D G Am D G Am D G G Am D G G Am D G G Am D G
Talk,C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm C Em Dm Em Dm
Teardrops on My Guitar,C Am F G C Am F G C Am F G C Am F G Am F C G Am F C G Am F C G Am F C G C G Am F C G Am F C G Am F C G Am F Am F C G C G Am F C G C G Am F C G C G Am F C G C G
That Should be Me,Am F C C Am F C Am F C C Am F C Am F C C Am F C Am F C C Am F C Am F C C Am F C Am F C C Am F C C Am F C C Am F C C Am F C C Am F C C C F Fm C F Dm Am F C C C F Fm C F Dm Am F C C C F Fm C F Dm Am F C C C F Fm C F Dm Am F C C C F Fm C F Dm Am F C C C F Fm C F Dm Am F C C C F Fm C F Dm Am F C C C F Fm C F Dm Am F C C Bb Bb Bb Bb Bb Bb Bb Bb Bb Bb Bb Bb
Toxic,Am Am Am Am Am C F C Am C F C Am C F C Am C F C
Vertigo,C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C A7 Dm C Gm Dm C A7 Dm C Gm Dm C A7 Dm C Gm Dm C A7 Dm C Gm Dm C Gm Dm C Gm Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C C A7 Dm C Gm Dm C
Wait,C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F C G Am F
Walk,C B Fm# Am C B Fm# Am C B Fm# Am C B Fm# Am C B Fm# Am C B Fm# Am C B Fm# Am C B Fm# Am C B C# A Am C B C# A Am C B C# A Am C B C# A Am C B C# A Am C B Fm# Am C C B Fm# Am C C B Fm# Am C C B Fm# Am C
White Horse,G C Em C G C Em C G C Em C G C Em C G C Em C G C Em C G C Em C G C Em C G Em C D G Em C D G Em C D G Em C D Em D C G D C G D C F Em D C G D C G D C F Em D C G D C G D C F Em D C G D C G D C F Em D C G D C G D C F C Em C G C Em C G C Em C G
Wildest Dreams,C Em D C Em D C Em D C Em D C Em D C Em D G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C G D Am C
Wish you Were Gay,Am D G Em Am D G Em Am D G Em Am D G Em Am D G Em Am D G Em Am D G Em Am D G Em Am D G Em Am D G Em Am D G Em Am D G Em
Won't Go Home without you,C Dm G C Am Dm F G C C Dm G C Am Dm F G C C Dm G C Am Dm F G C C Dm G C Am Dm F G C C Dm G C Am Dm F G C C Dm G C Am Dm F G C C Am F# F G C Am F# F G C Am F# F G C Am F# F G C Am F# F G C Dm F G C C Dm F G C C Dm F G C C Dm F G C Bb F C G Cb Bb F G Bb F C G Cb Bb F G Bb F C G Cb Bb F G Bb F C G Cb Bb F G Bb F C G Cb Bb F G C Dm F G C Am F C C Dm F G C Am F C C Dm F G C Am F C C Dm F G C Am F C C Dm F G C Am F C
Xanny,C G Dm Fm C G Dm Fm C G Dm Fm C G Dm Fm Am Bb C D Dm Am Bb C D Dm Am Bb C D Dm Am Bb C D Dm Am Bb C D Dm Dm G Am Bb C F# Dm G Am Bb C F# Dm G Am Bb C F# Dm G Am Bb C F# Dm G Am Bb C F# Dm G Am Bb C F# Dm G Am Bb C F# C G Dm C G Dm C G Dm C G Dm C G Dm
Young Dumb & Broke,C# C# C# C# C# C# C# C# Am# Bb C# Am# Bb C# Am# Bb
all the Good Girls Go to Hell,Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C Am F Dm C
i Love you,F C F C F C F C F C F Dm G Am C F C F Dm G Am C F C F Dm G Am C F C F Dm G Am C F C F Dm G Am C F C F Dm G Am C F C Dm G F Dm G F Dm G F F Dm G Am C F C F C F C F Dm G Am C F C F C F C F Dm G Am C F C F C F C F Dm G Am C F C F C F C F Dm G Am C F C F C F C F Dm G Am C F C F C F C
when the Party's over,C C Em G C C Em G C C Em G C C Em G C Am Em G C Am Em G C C Em G C Am Em G C Am Em G C C Em G C Am Em G C Am Em G C C Em G C Am Em G C Am Em G C Am Em G C Am Em G C Am Em G C Am Em G C Am Em G C Am Em G C
you Belong with Me,A7 A7 F Cm D# A7 F Cm D# A7 F Cm D# A7 F Cm D# Cm D# A7 F Cm D# F Cm D# A7 F Cm D# F Cm D# A7 F Cm D# F Cm D# A7 F Cm D# F A7 F Cm D# A7 A7 F Cm D# A7 A7 F Cm D# A7 A7 F Cm D# A7 A7 F Cm D# Cm D# A7 F Cm D# A7 F Cm D# Cm D# A7 F Cm D# A7 F Cm D# Cm D# A7 F Cm D# A7 F Cm D# Cm D# A7 F Cm D# F Cm D# A7 F Cm D# A7 F Cm D# A7 F Cm D# A7
you Need to Calm Down,C C C C C C C C C C F C F
you Should See Me in a Crown,C C Bdim G C C Bdim G C C Bdim G C C Bdim G C C G C C C G C C C G C C Bdim C C Bdim C
